Path,PretestHash,FinalHash,PretestStatus,FinalStatus,ChangedDuringGate,AffectedControl,TestResultApplicable,Evidence,Disposition
"electron/live-memory-ipc.ts","ab284bbdd323790b1f021f2d943210e42f1bb28d4914c50be0fecccb5b49ab00","ab284bbdd323790b1f021f2d943210e42f1bb28d4914c50be0fecccb5b49ab00","  M","  M","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"electron/registry-verification-ipc.ts","9b89f0828a34fc09e32e63761e8d73f9f9a72f581d43f194f8d634999386fd55","9b89f0828a34fc09e32e63761e8d73f9f9a72f581d43f194f8d634999386fd55","  M","  M","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"electron/wisp-overlay.ts","72cd8a3e9b55eb72b377e3bb7a05de120f6f8346590fbb2e72351532fc9e033a","72cd8a3e9b55eb72b377e3bb7a05de120f6f8346590fbb2e72351532fc9e033a","  M","  M","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"src/core/live-memory/live-memory-session.ts","71df02c2dfca18e58f4c47dc107fa27043cbedfca800674fe9397aa67bda77d8","71df02c2dfca18e58f4c47dc107fa27043cbedfca800674fe9397aa67bda77d8","  M","  M","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"src/core/live-memory/memory-manager.ts","c37797dfd80fbd176baa0b080ca473c2a2328ac5467652c42b31fcbaef077e42","c37797dfd80fbd176baa0b080ca473c2a2328ac5467652c42b31fcbaef077e42","  M","  M","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"src/app/pages/RegistryExplorerPage.tsx","e7d61c9d0d339d1acd76c857f7f3673670eb7645df446cfa3438d04bce344fbd","e7d61c9d0d339d1acd76c857f7f3673670eb7645df446cfa3438d04bce344fbd","  M","  M","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"src/core/live-memory/cleanup-coordinator.ts","362e389d7bb931ee62c247b5d196236693de1d1c39cf1bc07ea39ef9873297e0","362e389d7bb931ee62c247b5d196236693de1d1c39cf1bc07ea39ef9873297e0","? ?","? ?","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"src/core/live-memory/session-cleanup.ts","2ba44a9fe07d953967a1296be497400d00617ca946254e353a9bdf7e7ef449b6","2ba44a9fe07d953967a1296be497400d00617ca946254e353a9bdf7e7ef449b6","? ?","? ?","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"src/core/live-memory/freeze-concurrency-registry.ts","607fd00e5fafbba361e0867fe5cfea4aa8e491fc31661b2560a0d83b75f208b6","607fd00e5fafbba361e0867fe5cfea4aa8e491fc31661b2560a0d83b75f208b6","? ?","? ?","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
"src/core/security/trusted-sender-registry.ts","6ebd1197adb3d23caf3045ad87a8289a59ec65f50a8ea9dfb258ab769e3445cd","6ebd1197adb3d23caf3045ad87a8289a59ec65f50a8ea9dfb258ab769e3445cd","? ?","? ?","No","B1.1 lifecycle/security/trust control surface","Yes","source-state-pretest.csv; source-state-final.csv","Unchanged across gate"
